state,county,population_density
WV,Harrison,166.24
WV,Hardy,24.00
WV,Pocahontas,9.24
WV,Hancock,348.56
WV,Braxton,28.13
WV,Doddridge,25.58
WV,Hampshire,37.16
WV,Marion,181.43
WV,Tyler,35.24
WV,Summers,37.89
WV,Hardy,24.00
WV,Grant,24.78
WV,Marshall,105.91
WV,Harrison,166.24
WV,Greenbrier,34.67
WV,Brooke,259.17
WY,Crook,2.48
WY,Fremont,4.34
WY,Big Horn,3.70
WY,Natrona,14.04
WY,Goshen,6.01
WY,Uinta,10.11
WY,Converse,3.24
WY,Washakie,3.81
WY,Laramie,34.31
WY,Park,4.06
WY,Albany,8.46
WY,Lincoln,4.41
WY,Campbell,9.62
WY,Big,3.70
WY,Converse,3.24
WY,Niobrara,0.95
WY,Crook,2.48
WY,Sublette,2.07
WY,Platte,4.11
WY,Johnson,2.05
WY,Sweetwater,4.16
WY,Hot Springs,2.39
WY,Sheridan,11.54
WY,Goshen,6.01
WY,Weston,2.99
WY,Teton,5.05
WY,Fremont,4.34
WY,Hot,2.39
WY,Carbon,1.99
WY,Campbell,9.62
WY,Johnson,2.05
WY,Albany,8.46
WY,Carbon,1.99
WY,Laramie,34.31
